ID,Signal
Amphitheater,-53.635
Brackett,-59.791
Core,-65.708
Edwards,-69.350
Garden,-69.753
Hendrix,-55.771
LeverBeach,-77.102
Library,-64.811
LibraryBridge,-67.670
McAdams,-49.659
Union,-58.378
UnionCourtyardDS,-72.089
UnionCourtyardUS,-75.958
